gds-1	Service72	38	20130705	19	1/3538
gds-1	Service48	5	20130705	19	1/3538
gds-1	Service66	84	20130705	18	2/3538
gds-1	Service94	13	20130705	18	2/3538
gds-1	Service17	48	20130705	17	3/3538
gds-1	Service55	44	20130705	17	3/3538
gds-1	Service73	33	20130705	17	3/3538
gds-1	Service58	24	20130705	17	3/3538
gds-1	Service58	27	20130705	16	4/3538
gds-1	Service35	68	20130705	15	5/3538
gds-1	Service55	67	20130705	15	5/3538
gds-1	Service92	30	20130705	15	5/3538
gds-1	Service15	25	20130705	15	5/3538
gds-1	Service22	22	20130705	15	5/3538
gds-1	Service78	12	20130705	15	5/3538
gds-1	Service36	8	20130705	15	5/3538
gds-1	Service95	7	20130705	15	5/3538
gds-1	Service47	60	20130705	14	6/3538
gds-1	Service12	48	20130705	14	6/3538
gds-1	Service47	46	20130705	14	6/3538
gds-1	Service58	42	20130705	14	6/3538
gds-1	Service60	35	20130705	14	6/3538
gds-1	Service61	34	20130705	14	6/3538
gds-1	Service9	33	20130705	14	6/3538
gds-1	Service24	31	20130705	14	6/3538
gds-1	Service21	27	20130705	14	6/3538
gds-1	Service25	23	20130705	14	6/3538
gds-1	Service20	23	20130705	14	6/3538
gds-1	Service35	23	20130705	14	6/3538
gds-1	Service15	20	20130705	14	6/3538
gds-1	Service87	19	20130705	14	6/3538
gds-1	Service78	18	20130705	14	6/3538
gds-1	Service52	17	20130705	14	6/3538
gds-1	Service38	8	20130705	14	6/3538
gds-1	Service66	6	20130705	14	6/3538
gds-1	Service7	5	20130705	14	6/3538
gds-1	Service76	2	20130705	14	6/3538
gds-1	Service55	69	20130705	13	7/3538
gds-1	Service37	58	20130705	13	7/3538
gds-1	Service37	49	20130705	13	7/3538
gds-1	Service37	45	20130705	13	7/3538
gds-1	Service89	39	20130705	13	7/3538
gds-1	Service58	37	20130705	13	7/3538
gds-1	Service14	36	20130705	13	7/3538
gds-1	Service52	26	20130705	13	7/3538
gds-1	Service80	25	20130705	13	7/3538
gds-1	Service89	22	20130705	13	7/3538
gds-1	Service51	22	20130705	13	7/3538
gds-1	Service3	21	20130705	13	7/3538
gds-1	Service88	20	20130705	13	7/3538
gds-1	Service39	19	20130705	13	7/3538
gds-1	Service46	16	20130705	13	7/3538
gds-1	Service7	13	20130705	13	7/3538
gds-1	Service25	11	20130705	13	7/3538
gds-1	Service30	11	20130705	13	7/3538
gds-1	Service64	10	20130705	13	7/3538
gds-1	Service26	9	20130705	13	7/3538
gds-1	Service82	9	20130705	13	7/3538
gds-1	Service98	2	20130705	13	7/3538
gds-1	Service36	2	20130705	13	7/3538
gds-1	Service23	1	20130705	13	7/3538
gds-1	Service91	1	20130705	13	7/3538
gds-1	Service65	1	20130705	13	7/3538
gds-1	Service23	0	20130705	13	7/3538
gds-1	Service26	76	20130705	12	8/3538
gds-1	Service26	73	20130705	12	8/3538
gds-1	Service47	66	20130705	12	8/3538
gds-1	Service55	66	20130705	12	8/3538
gds-1	Service12	59	20130705	12	8/3538
gds-1	Service66	56	20130705	12	8/3538
gds-1	Service66	53	20130705	12	8/3538
gds-1	Service43	52	20130705	12	8/3538
gds-1	Service74	52	20130705	12	8/3538
gds-1	Service43	50	20130705	12	8/3538
gds-1	Service64	50	20130705	12	8/3538
gds-1	Service52	48	20130705	12	8/3538
gds-1	Service25	48	20130705	12	8/3538
gds-1	Service75	41	20130705	12	8/3538
gds-1	Service93	39	20130705	12	8/3538
gds-1	Service82	39	20130705	12	8/3538
